yearid,fipscode,raceid,ageid,genderid,educationid,indicatorid,miscid,datasourceid,estimateid,SuppressID,datasetid,GeoLevel,Estimate,SeEstimate,LowerLimit,UpperLimit
1983,-1,0,100,2,0,1,0,3,61,0,3,National,2.9,0.2,2.5,3.2
1983,-1,0,100,2,0,1,0,30,61,0,40,National,3.8,0.2,3.3,4.3
1983,-1,1,99,0,0,1,0,3,61,0,3,National,2.3,0.1,2.1,2.6
1983,-1,1,99,0,0,1,0,3,101,0,3,National,4520,259,4009,5031
1983,-1,1,99,0,0,1,0,30,61,0,40,National,3,0.2,2.7,3.4
1983,-1,1,99,0,0,1,0,30,101,0,40,National,4418,257,3910,4926
1983,-1,1,100,0,0,1,0,3,61,0,3,National,2.5,0.1,2.2,2.8
1983,-1,1,100,0,0,1,0,30,61,0,40,National,3.2,0.2,2.9,3.6
1983,-1,2,99,0,0,1,0,3,61,0,3,National,3.6,0.4,2.9,4.5
1983,-1,2,99,0,0,1,0,3,101,0,3,National,981,112,760,1201
1983,-1,2,99,0,0,1,0,30,61,0,40,National,5.5,0.6,4.4,6.8
1983,-1,2,99,0,0,1,0,30,101,0,40,National,981,112,760,1201
1983,-1,2,100,0,0,1,0,3,61,0,3,National,4.9,0.5,4,6.1
1983,-1,2,100,0,0,1,0,30,61,0,40,National,6.7,0.7,5.4,8.2
1983,-1,3,99,0,0,1,0,3,61,0,3,National,.,.,.,.
1983,-1,3,99,0,0,1,0,3,101,0,3,National,.,.,.,.
1983,-1,3,99,0,0,1,0,30,61,0,40,National,.,.,.,.
1983,-1,3,99,0,0,1,0,30,101,0,40,National,.,.,.,.
1983,-1,3,100,0,0,1,0,3,61,0,3,National,.,.,.,.
1983,-1,3,100,0,0,1,0,30,61,0,40,National,.,.,.,.
1983,-1,7,99,0,0,1,0,3,61,0,3,National,.,.,.,.
1983,-1,7,99,0,0,1,0,3,101,0,3,National,.,.,.,.
1983,-1,7,99,0,0,1,0,30,61,0,40,National,.,.,.,.
1983,-1,7,99,0,0,1,0,30,101,0,40,National,.,.,.,.
1983,-1,7,100,0,0,1,0,3,61,0,3,National,.,.,.,.
1983,-1,7,100,0,0,1,0,30,61,0,40,National,.,.,.,.
1984,-1,0,5,0,0,1,0,30,61,0,40,National,0.9,0.1,0.7,1.2
1984,-1,0,5,0,0,1,0,30,101,0,40,National,888,119,652,1125
1984,-1,0,6,0,0,1,0,3,61,0,3,National,5.3,0.4,4.5,6.1
1984,-1,0,6,0,0,1,0,3,101,0,3,National,2332,195,1947,2717
1984,-1,0,6,0,0,1,0,30,61,0,40,National,5.3,0.4,4.5,6.1
1984,-1,0,6,0,0,1,0,30,101,0,40,National,2332,195,1947,2717
1984,-1,0,7,0,0,1,0,3,61,0,3,National,10.5,0.9,8.8,12.5
1984,-1,0,7,0,0,1,0,3,101,0,3,National,1710,180,1354,2066
1984,-1,0,7,0,0,1,0,30,61,0,40,National,10.5,0.9,8.8,12.5
1984,-1,0,7,0,0,1,0,30,101,0,40,National,1710,180,1354,2066
1984,-1,0,8,0,0,1,0,3,61,0,3,National,9.7,1.1,7.8,12
1984,-1,0,8,0,0,1,0,3,101,0,3,National,985,118,752,1219
1984,-1,0,8,0,0,1,0,30,61,0,40,National,9.7,1.1,7.8,12
1984,-1,0,8,0,0,1,0,30,101,0,40,National,985,118,752,1219
1984,-1,0,9,0,0,1,0,3,61,0,3,National,0.6,0.1,0.5,0.8
1984,-1,0,9,0,0,1,0,3,101,0,3,National,977,128,724,1231
1984,-1,0,99,0,0,1,0,3,61,0,3,National,2.6,0.2,2.3,2.9
1984,-1,0,99,0,0,1,0,3,101,0,3,National,6004,352,5309,6700
1984,-1,0,99,0,0,1,0,30,61,0,40,National,3.5,0.2,3.1,3.9
1984,-1,0,99,0,0,1,0,30,101,0,40,National,5916,348,5227,6604
1984,-1,0,99,0,1,1,0,30,61,0,40,National,6.6,0.4,5.8,7.6
1984,-1,0,99,0,1,1,0,30,101,0,40,National,2937,225,2493,3381
1984,-1,0,99,0,2,1,0,30,61,0,40,National,3,0.3,2.5,3.5
1984,-1,0,99,0,2,1,0,30,101,0,40,National,1949,175,1603,2295
1984,-1,0,99,0,3,1,0,30,61,0,40,National,1.8,0.2,1.4,2.3
1984,-1,0,99,0,3,1,0,30,101,0,40,National,1018,128,765,1270
